Win,Type,Team1,Team2,OT,Year,Month,Day,Team1_Score,Team2_Score,Avg_Win_Ratio,Similarity_Score,Avg_Score_Diff,Regular_Wins_Team1_total,Regular_Losses_Team1_total,Playoff_Wins_Team1_total,Playoff_Losses_Team1_total,GAME_DATE_TIMESTAMP,Date
0,0,1610612737,1610612762,0,2024,2,27,0.0,0.0,0.4565217391304347,0.904109589041096,1.182667055733873,211,188,125,212,1708992000,2024-02-27
0,0,1610612737,1610612751,0,2024,2,29,0.0,0.0,0.4565217391304347,0.9863013698630136,0.5970292861867819,211,188,125,212,1709164800,2024-02-29
0,0,1610612737,1610612751,0,2024,3,2,0.0,0.0,0.4565217391304347,0.9863013698630136,0.5970292861867819,211,188,125,212,1709337600,2024-03-02
0,0,1610612737,1610612752,0,2024,3,5,0.0,0.0,0.4565217391304347,0.9726027397260274,4.167490118577078,211,188,125,212,1709596800,2024-03-05
0,0,1610612737,1610612739,0,2024,3,6,0.0,0.0,0.4565217391304347,0.7123287671232876,2.550609157572609,211,188,125,212,1709683200,2024-03-06
0,0,1610612737,1610612763,0,2024,3,8,0.0,0.0,0.4565217391304347,0.9178082191780822,3.291619580086831,211,188,125,212,1709856000,2024-03-08
0,0,1610612737,1610612740,0,2024,3,10,0.0,0.0,0.4565217391304347,0.7534246575342466,-0.7493893502686859,211,188,125,212,1710028800,2024-03-10
0,0,1610612737,1610612757,0,2024,3,13,0.0,0.0,0.4565217391304347,0.7534246575342466,0.5179839230182495,211,188,125,212,1710288000,2024-03-13
0,0,1610612737,1610612762,0,2024,3,15,0.0,0.0,0.4565217391304347,0.904109589041096,1.182667055733873,211,188,125,212,1710460800,2024-03-15
0,0,1610612737,1610612746,0,2024,3,17,0.0,0.0,0.4565217391304347,0.9315068493150684,-0.8734492753623186,211,188,125,212,1710633600,2024-03-17
0,0,1610612737,1610612747,0,2024,3,18,0.0,0.0,0.4565217391304347,0.7808219178082192,0.7073012884626593,211,188,125,212,1710720000,2024-03-18
0,0,1610612737,1610612756,0,2024,3,21,0.0,0.0,0.4565217391304347,0.8767123287671232,0.396526433139698,211,188,125,212,1710979200,2024-03-21
0,0,1610612737,1610612766,0,2024,3,23,0.0,0.0,0.4565217391304347,0.6849315068493151,2.4083828589302385,211,188,125,212,1711152000,2024-03-23
0,0,1610612737,1610612738,0,2024,3,25,0.0,0.0,0.4565217391304347,0.8904109589041096,-0.1392161062325954,211,188,125,212,1711324800,2024-03-25
0,0,1610612737,1610612757,0,2024,3,27,0.0,0.0,0.4565217391304347,0.7534246575342466,0.5179839230182495,211,188,125,212,1711497600,2024-03-27
0,0,1610612737,1610612738,0,2024,3,28,0.0,0.0,0.4565217391304347,0.8904109589041096,-0.1392161062325954,211,188,125,212,1711584000,2024-03-28
0,0,1610612737,1610612749,0,2024,3,30,0.0,0.0,0.4565217391304347,0.8493150684931507,-1.866865403003544,211,188,125,212,1711756800,2024-03-30
0,0,1610612737,1610612741,0,2024,4,1,0.0,0.0,0.4565217391304347,0.863013698630137,3.5738010822914674,211,188,125,212,1711929600,2024-04-01
0,0,1610612737,1610612765,0,2024,4,3,0.0,0.0,0.4565217391304347,0.9178082191780822,4.732123866124482,211,188,125,212,1712102400,2024-04-03
0,0,1610612737,1610612742,0,2024,4,4,0.0,0.0,0.4565217391304347,0.9315068493150684,2.072047992397245,211,188,125,212,1712188800,2024-04-04
0,0,1610612737,1610612743,0,2024,4,6,0.0,0.0,0.4565217391304347,0.904109589041096,-0.7532622941478166,211,188,125,212,1712361600,2024-04-06
0,0,1610612737,1610612748,0,2024,4,9,0.0,0.0,0.4565217391304347,0.9863013698630136,3.9967154706897503,211,188,125,212,1712620800,2024-04-09
0,0,1610612737,1610612766,0,2024,4,10,0.0,0.0,0.4565217391304347,0.6849315068493151,2.4083828589302385,211,188,125,212,1712707200,2024-04-10
0,0,1610612737,1610612750,0,2024,4,12,0.0,0.0,0.4565217391304347,0.8082191780821918,-0.3396121541502026,211,188,125,212,1712880000,2024-04-12
0,0,1610612737,1610612754,0,2024,4,14,0.0,0.0,0.4565217391304347,0.7534246575342466,0.6066538553927359,211,188,125,212,1713052800,2024-04-14
0,0,1610612738,1610612755,0,2024,2,27,0.0,0.0,0.6231527093596059,0.9178082191780822,1.0024467425700578,340,145,166,161,1708992000,2024-02-27
0,0,1610612738,1610612742,0,2024,3,1,0.0,0.0,0.6231527093596059,0.8767123287671232,2.21126409862984,340,145,166,161,1709251200,2024-03-01
0,0,1610612738,1610612744,0,2024,3,3,0.0,0.0,0.6231527093596059,0.9178082191780822,-3.5536310185921,340,145,166,161,1709424000,2024-03-03
0,0,1610612738,1610612739,0,2024,3,5,0.0,0.0,0.6231527093596059,0.8767123287671232,2.6898252638052043,340,145,166,161,1709596800,2024-03-05
0,0,1610612738,1610612743,0,2024,3,7,0.0,0.0,0.6231527093596059,0.9726027397260274,-0.6140461879152213,340,145,166,161,1709769600,2024-03-07
0,0,1610612738,1610612756,0,2024,3,9,0.0,0.0,0.6231527093596059,0.8356164383561644,0.5357425393722934,340,145,166,161,1709942400,2024-03-09
